ComAreaID,community,Pop2012,Pop2014,PopChng,PopM,PopMP,PopF,PopFP,Under5,Under5P,Under18,Under18P,Over18,Over18P,Over21,Over21P,Over65,Over65P,Wht14,Wht14P,Blk14,Blk14P,AI14,AI14P,AS14,AS14P,NHP14,NHP14P,Oth14,Oth14P,Hisp14,Hisp14P,Property_C,PropCrRt,Violent_C,VlntCrRt,PerCInc14,PPop14,Pov14,field_37,ChldPov14,NoHS14,HSGrad14,SmClg14,ClgGrad14,LaborFrc,Unemp14,Pov50,Pov50P,Pov125,Pov125P,Pov150,Pov150P,Pov185,Pov185P,Pov200,Pov200P,COIave,HISave,SESave,Hlitave,BirthRate,FertRate,LoBirthR,PrenScrn,PretBrth,TeenBirth,Assault,BrstCancr,CancerAll,Colorect,DiabetM,FirearmM,InfntMR,LungCancer,ProstateC,Stroke,ChlBLLS,ChlLeadP,GonorrF,GonorrM,Tuberc
35,DOUGLAS,18238,19430,3.1645,8294,42.6866,11136,57.3134,1888,9.7169,2904,14.9460,16526,85.0540,15033,77.3700,2834,14.5857,2752,14.1637,14005,72.0793,86,0.4426,2687,13.8291,50,0.2573,203,1.0448,426,2.1925,814,0.0419,793,0.0408,215254,16884,6229,36.8929,1496,1520,2314,3429,4703,8869,1620,1498,8.8723,7016,41.5541,7681,45.4928,8418,49.8579,8901,52.7186,-0.1271,42.7985,48.7474,233.4417,10.3000,42,11,76,10.2000,34.2000,13.6000,34.3000,269.9000,33.2000,119.1000,9.1000,13.4000,74.5000,85.5000,62.1000,482.2000,0,1063.3000,727.4000,4.2000
36,OAKLAND,5918,6473,4.4791,2499,38.6065,3974,61.3935,725,11.2004,1938,29.9397,4535,70.0603,4213,65.0857,601,9.2847,234,3.6150,6072,93.8050,6,0.0927,140,2.1628,0,0.0000,33,0.5098,122,1.8848,200,0.0309,203,0.0314,54204,6445,2500,38.7898,719,717,718,1274,1084,3139,865,481,7.4631,3066,47.5718,3358,52.1024,3715,57.6416,3735,57.9519,-0.2499,51.4700,52.5017,250.0172,17.5000,63,13,75,11.5000,54.5000,18.9000,20.6000,159.7000,14.5000,88.7000,12.6000,8.2000,54.5000,54.2000,43.7000,435.4000,0,1655.4000,1629.3000,6.7000
37,FULLER PARK,2876,2543,-6.1450,1218,47.8962,1325,52.1038,531,20.8808,590,23.2009,1953,76.7991,1870,73.5352,542,21.3134,122,4.7975,2311,90.8769,0,0.0000,0,0.0000,0,0.0000,132,5.1907,191,7.5108,207,0.0814,249,0.0979,32828,2533,927,36.5969,204,414,592,492,230,1036,378,166,6.5535,1164,45.9534,1342,52.9807,1510,59.6131,1540,60.7975,-0.8429,56.4702,48.2353,243.1150,11.9000,60,17,71,14.3000,69.2000,49.6000,8.5000,258.9000,21.1000,111.7000,22.6000,22.6000,89.6000,70.5000,82.4000,489.9000,2,1061.9000,1556.4000,0.0000
38,GRAND BOULEVARD,21929,22531,1.3540,9681,42.9675,12850,57.0325,2505,11.1180,5659,25.1165,16872,74.8835,15795,70.1034,2914,12.9333,1050,4.6602,21150,93.8707,156,0.6924,138,0.6125,90,0.3994,369,1.6377,474,2.1038,884,0.0392,1044,0.0463,293535,22272,7588,34.0697,2487,2260,3391,5035,3867,10756,2619,2164,9.7162,9349,41.9765,10354,46.4889,11665,52.3752,12066,54.1756,-0.3428,41.7933,48.1779,230.7388,14.3000,58,12,74,13.7000,54.8000,32.1000,22.6000,218.3000,27.7000,82.6000,25.8000,12.1000,63.8000,39.0000,46.7000,590.4000,1,1454.6000,1680.0000,13.2000
39,KENWOOD,17841,18217,1.0428,8543,46.8958,9674,53.1042,1191,6.5378,3537,19.4159,14680,80.5841,14171,77.7900,2791,15.3209,3834,21.0463,12754,70.0115,129,0.7081,1660,9.1124,0,0.0000,331,1.8170,701,3.8481,497,0.0273,426,0.0234,261582,17997,4232,23.5150,1141,1141,1589,2968,6861,9283,1304,1203,6.6844,5181,28.7881,5689,31.6108,6774,37.6396,7308,40.6068,0.2452,35.6855,58.4564,252.5250,12.2000,51,11,77,11.9000,25.7000,15.2000,30.9000,196.4000,34.2000,45.5000,17.4000,8.9000,49.1000,46.2000,31.5000,397.9000,0,610.2000,549.1000,0.0000
4,LINCOLN SQUARE,39493,39547,0.0683,19760,49.9659,19787,50.0341,2839,7.1788,6610,16.7143,32937,83.2857,32196,81.4120,3660,9.2548,31209,78.9162,1780,4.5010,386,0.9761,5565,14.0719,101,0.2554,1757,4.4428,6236,15.7686,722,0.0183,463,0.0117,461996,39013,5145,13.1879,1148,3065,3809,5771,17730,25794,2037,1504,3.8551,6846,17.5480,8350,21.4031,10136,25.9811,10600,27.1704,0.5169,26.7975,63.3062,243.4111,17.1000,61,8,80,9.7000,38.4000,5.0000,21.7000,153.2000,8.6000,55.4000,6.1000,3.8000,43.1000,27.6000,36.9000,273.3000,0,98.8000,195.5000,8.5000
40,WASHINGTON PARK,11717,11647,-0.2996,4850,41.6416,6797,58.3584,1486,12.7587,4367,37.4946,7280,62.5054,6806,58.4356,915,7.8561,228,1.9576,11392,97.8106,157,1.3480,16,0.1374,0,0.0000,35,0.3005,246,2.1121,676,0.0580,1052,0.0903,87459,11546,5550,48.0686,2526,1311,1682,2006,1100,4668,1388,1320,11.4325,6425,55.6470,7170,62.0994,8038,69.6172,8256,71.5053,-0.5520,53.9975,49.0668,234.1639,19.3000,72,17,74,16.9000,82.6000,44.6000,26.0000,258.0000,31.9000,88.2000,39.5000,19.3000,79.8000,67.0000,43.3000,502.4000,0,2145.8000,2058.0000,5.0000
41,HYDE PARK,25681,26705,1.9547,12941,48.4591,13764,51.5409,1690,6.3284,3727,13.9562,22978,86.0438,19792,74.1135,3264,12.2224,13821,51.7544,9110,34.1135,176,0.6591,3622,13.5630,19,0.0711,1025,3.8382,1681,6.2947,674,0.0252,378,0.0142,414505,24047,5323,22.1358,664,686,1388,2734,12261,13566,1029,1450,6.0299,6330,26.3234,6891,28.6564,7953,33.0727,8432,35.0647,0.3641,27.1333,60.8513,230.3696,9.7000,33,5,80,5.5000,7.6000,5.8000,33.6000,144.0000,11.7000,34.0000,5.0000,10.4000,34.9000,24.1000,26.0000,369.0000,0,216.6000,168.4000,5.3000
42,WOODLAWN,25983,25451,-1.0343,11345,44.5759,14106,55.4241,1854,7.2846,6718,26.3958,18733,73.6042,16777,65.9188,2735,10.7461,2586,10.1607,22160,87.0693,167,0.6562,903,3.5480,5,0.0196,238,0.9351,617,2.4243,1108,0.0435,1467,0.0576,186586,24179,9139,37.7973,3243,2443,3271,5316,4016,10534,2356,2328,9.6282,11270,46.6107,12882,53.2776,14440,59.7212,14852,61.4252,-0.1543,45.6919,49.8982,239.6065,15.1000,60,17,73,16.3000,51.1000,31.1000,32.9000,241.3000,23.9000,82.1000,25.0000,11.5000,69.8000,58.0000,60.0000,444.3000,1,1382.0000,1818.6000,17.4000
1,ROGERS PARK,54991,55053,0.0563,27309,49.6049,27744,50.3951,3601,6.5410,10281,18.6747,44772,81.3253,41477,75.3401,4677,8.4954,33374,60.6216,15860,28.8086,558,1.0136,4162,7.5600,108,0.1962,3084,5.6019,13530,24.5763,1104,0.0201,1022,0.0186,287055,52115,14173,27.1956,3401,5712,6720,8009,15420,31100,2921,3138,6.0213,17629,33.8271,20569,39.4685,23774,45.6183,25890,49.6786,0.0026,38.1292,59.1711,243.5293,16.4000,62,11,73,11.2000,40.8000,7.7000,23.3000,176.9000,25.3000,77.1000,5.2000,6.4000,36.7000,21.7000,33.7000,364.7000,0,322.5000,423.3000,11.4000
