DATE,REPORT_TYPE,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,DailyWeather,Sunrise,Sunset
2015-01-01T23:59:00,SOD  ,10,23,59,30.07,29.31,19,14.5,0,-1.4,42,32,14,250,30,0,0,0,240,24,,720,1631
2015-01-02T23:59:00,SOD  ,17,25,70,30.25,29.49,23,4.6,0,0.7,40,34,15,150,13,0,0,0,150,12,,720,1632
2015-01-03T23:59:00,SOD  ,30,32,93,29.91,29.12,32,5.5,0,7.8,33,34,29,140,14,0.57,0,0.4,140,13,RA DZ FZRA FZDZ SN PL BR,720,1633
2015-01-04T23:59:00,SOD  ,15,18,78,30.09,29.39,20,15.9,0,-6.1,47,33,2,320,31,0.13,1,2.2,320,26,DZ SN FZFG BR HZ BLSN FG,720,1634
2015-01-05T23:59:00,SOD  ,-4,2,69,30.53,29.74,2,10.2,0,-22,63,6,-3,310,26,0.15,2,1.8,310,22,SN BR,720,1635
2015-01-06T23:59:00,SOD  ,-1,3,73,30.35,29.57,4,13.9,0,-20.9,62,10,-5,280,30,0.01,4,0.2,270,24,SN BR,720,1636
2015-01-07T23:59:00,SOD  ,-10,0,58,30.67,29.9,0,17.4,0,-23.9,65,6,-6,320,33,0,3,0,330,28,,720,1637
2015-01-08T23:59:00,SOD  ,-2,5,74,30.17,29.34,3,17.6,0,-18.8,60,18,-8,300,39,0.06,3,3,300,28,SN BLSN,720,1638
2015-01-09T23:59:00,SOD  ,-5,6,63,30.32,29.56,2,16.5,0,-17.7,59,11,0,330,38,T,5,T,330,30,SN HZ BLSN,720,1639
2015-01-10T23:59:00,SOD  ,2,11,67,30.37,29.58,9,11.7,0,-12.7,54,24,-2,190,27,0,4,0,180,22,,719,1640
2015-01-11T23:59:00,SOD  ,18,27,71,30.27,29.5,24,8.3,0,3.4,38,32,22,180,21,0.19,4,2.6,180,18,SN FZFG BR FG,719,1641
2015-01-12T23:59:00,SOD  ,10,22,69,30.5,29.78,17,12.7,0,-1.6,43,28,15,10,25,T,6,0.4,10,21,SN BR,719,1642
2015-01-13T23:59:00,SOD  ,9,11,74,30.63,29.85,14,7.5,0,-12.5,54,19,3,50,23,T,6,0.2,50,20,SN,718,1643
2015-01-14T23:59:00,SOD  ,7,10,79,30.35,29.54,12,6.4,0,-13.5,55,19,1,220,18,T,6,T,220,14,SN BR,718,1644
2015-01-15T23:59:00,SOD  ,18,26,74,30.07,29.28,22,10.1,0,2.5,39,34,17,230,27,0,5,0,240,21,,718,1645
2015-01-16T23:59:00,SOD  ,22,29,79,30.13,29.36,26,8.2,0,5.5,36,34,23,140,18,0,4,0,140,15,,717,1647
2015-01-17T23:59:00,SOD  ,29,34,73,29.71,28.95,34,15.4,0,10.6,31,42,26,220,37,0,4,0,210,28,,717,1648
2015-01-18T23:59:00,SOD  ,28,34,78,29.85,29.13,32,10.4,0,10.6,31,40,27,240,24,T,0,T,300,20,SN,716,1649
2015-01-19T23:59:00,SOD  ,28,33,82,29.96,29.21,31,5.4,0,9.6,32,41,25,100,13,T,0,T,100,12,SN,715,1650
2015-01-20T23:59:00,SOD  ,30,33,89,29.93,29.2,31,7.4,0,9.6,32,36,29,50,23,T,0,0,40,17,DZ FZDZ BR,715,1651
2015-01-21T23:59:00,SOD  ,26,31,83,30.09,29.38,29,7.5,0,7.5,34,33,29,40,17,0.01,0,0.1,20,14,FZDZ SN RA,714,1653
2015-01-22T23:59:00,SOD  ,23,30,75,30.39,29.64,28,6.9,0,6.5,35,31,28,230,19,0,0,0,260,15,,714,1654
2015-01-23T23:59:00,SOD  ,23,30,77,30.1,29.29,27,11.5,0,6.5,35,31,29,260,24,0,0,0,220,17,,713,1655
